"INTEGRATIONNAME"~|~"ARCHIVENAME"~|~"PROGRAMNAME"~|~"ARTIFACTTYPE"~|~"ATTRIBUTENAME"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"RepoInstances"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"RvDaemon"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"RvNetwork"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"RvService"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"RvaHost"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"RvaPort"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/Http/Host"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/Http/Port"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/DatabaseURL"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/JDBCDriver"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/LoginTimeOut"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/MaxConnections"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/MaxRows"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/Timeout"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/eVOCDBHost"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/eVOCDBPassword"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/eVOCDBPort"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/eVOCDBSID"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/JDBC/eVOCDBUserName"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/Connections/SOAP/eVOCAutoEncEndpointURL"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/LogTypes/Debug"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/LogTypes/Error"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/LogTypes/Fatal"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/LogTypes/Info"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"Shared/LogTypes/Warning"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/CommonUtilities/Algorithms/GZipIdentifier"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/CommonUtilities/Algorithms/ZipIdentifier"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/CommonUtilities/ComponentVersion"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/Action"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/ComponentVersion"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/EHClientRequestQueue"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/Environment"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/IntegrationName"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/JMS/ClientID"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/JMS/IEHSQueueConnectionFactory"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/JMS/IEHSTopicConnectionFactory"
"ADI_AutoEncoder_Translation_Service"~|~"ADI_AutoEncoder_Translation_Service.ear"~|~"MRL"~|~"BW"~|~"SharedServices/ErrorHandling/JMS/InternalRemediationQueue"
